sentence,intent
这病能断根吗,咨询疗效
你们医院有比较厉害的专家吗？,咨询专家
你们医院厉害的主任有吗？,咨询专家
有专业的医生吗？,咨询专家
你们医资力量怎么样？,咨询专家
你们医院会有比较专业的主任吗？,咨询专家
有专业的医师吗,咨询专家
吃什么药好的快,咨询药物
那我应该吃什么药,咨询药物
你们医院一般都开什么药,咨询药物
吃那些药比较好,咨询药物
可以帮我开点药吗,咨询药物
有什么特效药吗,咨询药物
我想通过药物治疗,咨询药物
你们医院用什么药,咨询药物
请问是专家号吗？,咨询专家
有妇产科的专家吗,咨询专家
材料有哪些,咨询材料
用料有哪些,咨询材料
你们医院采用的是什么材料,咨询材料
材料都有哪些呢,咨询材料
材料是进口的吗,咨询材料
用料怎么样,咨询材料
材质如何？,咨询材料
材料靠谱吗,咨询材料
有哪些治疗方式呢,咨询治疗方式
你们医院采用的治疗方式是什么？,咨询治疗方式
治疗方式有哪些？,咨询治疗方式
治疗方式？,咨询治疗方式
都有哪些治疗方式,咨询治疗方式
主要是通过什么方式治疗的,咨询治疗方式
目前通用的治疗方式是那种？,咨询治疗方式
那种治疗方式靠谱点？,咨询治疗方式
通过什么方式治疗的,咨询治疗方式
传统的治疗方式都有哪些,咨询治疗方式
保守的治疗方式有哪些,咨询治疗方式
有好的方法治么,咨询治疗方式
治愈的方式有哪些,咨询治疗方式
治好这个要怎么做,咨询治疗方式
这个要怎么治疗,咨询治疗方式
有什么好的方法,咨询治疗方式
治疗的方法有哪些,咨询治疗方式
我想咨询""月经不调怎么治疗"",咨询治疗方式
像我这种有什么好的治疗办法吗，,咨询治疗方式
要做哪些检查？,咨询检查方式
检查要做几项？,咨询检查方式
都有哪些检查,咨询检查方式
检查什么项目呢？,咨询检查方式
怎么检查,咨询检查方式
这个要怎么查,咨询检查方式
只是怀疑，不知去什么科检查,咨询检查方式
应该挂什么科室检查,咨询检查方式
想去检查，不知道去检查什么，过敏原做过，没有问题,咨询检查方式
你好，我想问下，治疗大概要多少钱？,咨询价格
治疗一般要多少钱？,咨询价格
告知一下费用,咨询价格
价格是多少呢？,咨询价格
治疗下来需要花多少钱？,咨询价格
是怎么收费的？,咨询价格
费用怎么算的？,咨询价格
要多少钱呢,咨询价格
一般要多少钱,咨询价格
你就告诉一声，具体要多少钱？,咨询价格
大概要多少钱呀,咨询价格
治疗要多少钱？,咨询价格
要是到你们医院治疗的话估计需要多少钱？,咨询价格
像我这样的大概的花多少钱呢,咨询价格
我想问一下 具体费用,咨询价格
要多少钱,咨询价格
然后你预计我这个得花多少钱,咨询价格
看我这样的病大概需要多少钱,咨询价格
治疗大概需要多少费用了,咨询价格
多少钱,咨询价格
平常价格是多少钱啊,咨询价格
费用多少,咨询价格
得多少钱,咨询价格
说一下价格是多少？,咨询价格
麻烦讲一下费用是多少？,咨询价格
需要多少钱？,咨询价格
治疗费用怎么算的？,咨询价格
价格是多少？,咨询价格
想先了解一下价格,咨询价格
想问下治疗需要多少钱？,咨询价格
治疗的费用是多少？,咨询价格
和我讲一下大概费用吧,咨询价格
价目表,咨询价格
我一个朋友认识你们医院的一个人，能不能后面给优惠点,咨询优惠活动
军人有什么优惠吗,咨询优惠活动
假期有没有什么活动,咨询优惠活动
检查有活动吗,咨询优惠活动
哦 这个不能优惠吗,咨询优惠活动
五一有活动吗,咨询优惠活动
请问年底有什么活动优惠么,咨询优惠活动
年底了也没啥活动么,咨询优惠活动
医生 现在你院是不是在搞活动啊,咨询优惠活动
现在还有什么优惠活动价吗,咨询优惠活动
不能再优惠了吗,咨询优惠活动
检查优惠有哪几样,咨询优惠活动
活动是到什么时候结束啊,咨询优惠活动
援助优惠是什么意思呢,咨询优惠活动
优惠价格是多少呢,咨询优惠活动
没有医保也可以优惠吗,咨询优惠活动
直接过去有优惠吗,咨询优惠活动
活动什么时候结束,咨询优惠活动
还可以打折吗,咨询优惠活动
有没优惠之类的,咨询优惠活动
能不能优惠些？,咨询优惠活动
做的话有优惠吗,咨询优惠活动
可以优惠一下吗,咨询优惠活动
价格有优惠么,咨询优惠活动
医院最近有优惠吗,咨询优惠活动
有没有活动，减免之类的,咨询优惠活动
看有没有优惠,咨询优惠活动
最近有什么优惠码,咨询优惠活动
学生有优惠吗？,咨询优惠活动
凭短信能优惠么,咨询优惠活动
现在有没有什么活动,咨询优惠活动
一起做有优惠吗,咨询优惠活动
我想看看医院有没有优惠啥的,咨询优惠活动
有什么优惠啊,咨询优惠活动
有优惠套餐吗,咨询优惠活动
学生还可以打折吗？,咨询优惠活动
你们在搞活动？,咨询优惠活动
这个有什么优惠政策吗？,咨询优惠活动
网上是不是有啥优惠,咨询优惠活动
能优惠吗，我没钱,咨询优惠活动
是每个人都可以享受补贴优惠？,咨询优惠活动
我看网上预约有优惠是不是,咨询优惠活动
最近有没有什么折扣？,咨询优惠活动
有折扣或者优惠活动吗？,咨询优惠活动
有没有优惠价啊,咨询优惠活动
有没有优惠活动啊？,咨询优惠活动
现在有优惠吗？,咨询优惠活动
有没有优惠？,咨询优惠活动
现在做的话，有优惠价吗？,咨询优惠活动
现在有折扣或者活动吗？,咨询优惠活动
最近有没有什么优惠,咨询优惠活动
最近有优惠活动吗？,咨询优惠活动
可以给折扣吗？,咨询优惠活动
手术需要多久,咨询手术时长
手术需要很长时间吗,咨询手术时长
手术大概需要多久,咨询手术时长
手术时间会很长吗,咨询手术时长
大概多久手术能做完,咨询手术时长
手术会花很长时间吗,咨询手术时长
手术会耗时很久吗,咨询手术时长
手术会很久吗,咨询手术时长
手术多久能完,咨询手术时长
手术需要多久呢,咨询手术时长
不该吃什么,咨询忌口食物
尽量少吃什么？,咨询忌口食物
平时有什么忌口的吗,咨询忌口食物
不能吃什么,咨询忌口食物
那就我目前这个情况什么是不能吃的,咨询忌口食物
我应该少吃什么呀,咨询忌口食物
我应该尽量避免吃什么,咨询忌口食物
这种病要忌口吗？,咨询忌口食物
那你能不能把忌口的食物发给我，我好注意点,咨询忌口食物
对什么忌口,咨询忌口食物
妇科病忌口食物表,咨询忌口食物
要不要忌口些什么东西不能吃,咨询忌口食物
在医院治疗好些了，消了，变淡了，但医生说要忌口，好了后只吃面食及稀饭，要忌半年。有这说法吗,咨询忌口食物
现在不知道能给她吃什么东西，怕吃错了加重病情,咨询忌口食物
有什么影响呢,咨询危害
对人体危害大吗,咨询危害
会造成什么严重的后果吗,咨询危害
危害表现在哪些方面,咨询危害
危害有多大,咨询危害
危害主要表现在哪些方面？,咨询危害
和我讲一下危害？,咨询危害
这个有什么影响嘛,咨询危害
您能告诉我具体有什么危害吗,咨询危害
不治疗对身体有没有坏处,咨询危害
那会影响什么,咨询危害
有危害吗？,咨询危害
会不会有危害啊,咨询危害
会有影响吗,咨询危害
对身体有没有伤害,咨询危害
我想请问一下对身体有什么害处,咨询危害
这个病的副作用大吗？,咨询副作用
治疗后会不有什么副作用,咨询副作用
吃药会不会有副作用,咨询副作用
副作用会不会有,咨询副作用
治疗会不会有引发新的问题,咨询副作用
副作用大不大,咨询副作用
不会产生负面效果吧,咨询副作用
饮食方面要多吃什么,咨询宜吃食物
吃什么好的快,咨询宜吃食物
吃什么对身体好,咨询宜吃食物
多吃什么对身体好,咨询宜吃食物
韭菜，蒜薹能吃吗,咨询宜吃食物
有什么东西多吃有利于这个病呢,咨询宜吃食物
需要动刀吗,咨询动刀
是要开刀对吗,咨询动刀
会开刀吗,咨询动刀
需要动刀子吗,咨询动刀
是不是还要动刀,咨询动刀
妇科检查,咨询项目介绍
内分泌失调,咨询项目介绍
月经不调,咨询项目介绍
阴道炎,咨询项目介绍
妇科炎症,咨询项目介绍
宫颈疾病,咨询项目介绍
宫颈糜烂,咨询项目介绍
子宫异常,咨询项目介绍
子宫肌瘤,咨询项目介绍
卵巢功能异常,咨询项目介绍
卵巢肿瘤,咨询项目介绍
妇科囊肿,咨询项目介绍
多囊卵巢,咨询项目介绍
卵巢囊肿,咨询项目介绍
子宫内膜疾病,咨询项目介绍
附件炎,咨询项目介绍
盆腔疾病,咨询项目介绍
盆腔炎,咨询项目介绍
宫颈炎,咨询项目介绍
宫颈肥大,咨询项目介绍
宫腔黏连,咨询项目介绍
输卵管异常,咨询项目介绍
输卵管堵塞,咨询项目介绍
乳腺疾病,咨询项目介绍
乳腺炎,咨询项目介绍
不孕,咨询项目介绍
上环取环,咨询项目介绍
孕前检查,咨询项目介绍
孕期产检,咨询项目介绍
胎心监护,咨询项目介绍
四维彩超,咨询项目介绍
唐氏筛查,咨询项目介绍
NT检查,咨询项目介绍
无创DNA,咨询项目介绍
自然分娩,咨询项目介绍
剖腹产,咨询项目介绍
产后康复,咨询项目介绍
哺乳期乳腺炎,咨询项目介绍
宫外孕,咨询项目介绍
无痛人流,咨询项目介绍
流产,咨询项目介绍
妊娠反应,咨询项目介绍
泌尿系统感染,咨询项目介绍
处女膜修复,咨询项目介绍
早孕,咨询项目介绍
性病,咨询项目介绍
艾滋病,咨询项目介绍
盆底康复,咨询项目介绍
白带异常,咨询项目介绍
婚检,咨询项目介绍
病因是什么？,咨询病因
主要病因是？,咨询病因
致病因？,咨询病因
是什么原因造成的呢？,咨询病因
致病因是什么？,咨询病因
我为什么会得这个病？,咨询病因
那是什么原因呢？,咨询病因
主要是什么原因导致的？,咨询病因
为什么会这样,咨询病因
不怀孕是什么引起的,咨询病因
是什么原因导致这个啊,咨询病因
我主要想知道这次复发的原因,咨询病因
什么原因引起的得过敏性紫癜,咨询病因
是需要仪器查出诱发原因吗？,咨询病因
就是想问一下到底是什么原因会这样,咨询病因
不知道什么原因,咨询病因
效果好吗？,咨询疗效
效果如何？,咨询疗效
治疗效果怎么样,咨询疗效
疗效怎么样,咨询疗效
效果好不好,咨询疗效
做完会有改善吗？,咨询疗效
效果怎么样啊？,咨询疗效
有效果吗？,咨询疗效
做完会不会没用啊？,咨询疗效
那效果怎么样啊？,咨询疗效
效果怎么样？,咨询疗效
多久能看到效果？,咨询疗效
治疗了之后改善大吗？,咨询疗效
治疗后的效果怎么样？,咨询疗效
治疗之后可以改善吗？,咨询疗效
可以达到理想效果吗？,咨询疗效
有治疗的效果吗？,咨询疗效
想咨询您这个病是不是很难根治，目前国内哪里医院治疗效果好点,咨询疗效
请问中医治疗效果是否好些,咨询疗效
住院治疗效果不是很明显,咨询疗效
会疼吗？,咨询疼痛程度
做这个不疼吧？,咨询疼痛程度
会不会很疼,咨询疼痛程度
太疼的话我就不会考虑了,咨询疼痛程度
我这个比较怕疼,咨询疼痛程度
听说会很痛,咨询疼痛程度
痛不痛呢？,咨询疼痛程度
痛不痛？,咨询疼痛程度
我朋友告诉我会很疼，是这样吗医生,咨询疼痛程度
我看网上都说会很疼,咨询疼痛程度
疼痛感是不是很强烈,咨询疼痛程度
会不会疼啊,咨询疼痛程度
怕疼,咨询疼痛程度
会不会疼,咨询疼痛程度
是无痛的吗？,咨询疼痛程度
是无痛的吧,咨询疼痛程度
无痛的吧,咨询疼痛程度
不会疼吧,咨询疼痛程度
这个不会疼吧？,咨询疼痛程度
痛苦吗？,咨询疼痛程度
会不会痛,咨询疼痛程度
不会感觉到疼吧？,咨询疼痛程度
是无痛的吧？,咨询疼痛程度
痛不痛哦,咨询疼痛程度
做这个是无痛的吧,咨询疼痛程度
会很痛吗？,咨询疼痛程度
我有点怕疼，会很疼吗？,咨询疼痛程度
疼不疼呢？,咨询疼痛程度
痛不？,咨询疼痛程度
痛吗？,咨询疼痛程度
不是本地的医保可以用吗,咨询医保
可以使用社保吗,咨询医保
我有医疗保险的,咨询医保
介绍一下你们医院,咨询公司介绍
你们医院怎么样,咨询公司介绍
有你们医院的具体介绍吗,咨询公司介绍
医院有简介吗,咨询公司介绍
你们医院是做啥的,咨询公司介绍
有医院的介绍吗,咨询公司介绍
有医院简介吗,咨询公司介绍
医院的特色是啥,咨询公司介绍
你们医院电话是多少,咨询电话
电话号码是多少,咨询电话
号码是多少,咨询电话
你们医院电话多少,咨询电话
医院的电话是,咨询电话
电话热线是,咨询电话
医院电话热线是多少,咨询电话
电话号码给我一个,咨询电话
咨询电话是多少,咨询电话
医院的咨询热线是啥,咨询电话
给我个电话号码,咨询电话
号码给我一个咯,咨询电话
微信是多少,咨询微信
微信号给我个,咨询微信
给我个微信号,咨询微信
医院的微信号是多少,咨询微信
医院的微信号是啥,咨询微信
微信号是多少,咨询微信
微信号有吗,咨询微信
我要你们医院的微信号,咨询微信
有可以预约的微信号吗,咨询微信
有可以咨询的微信号吗,咨询微信
预约微信号是多少,咨询微信
微信号码是多少,咨询微信
我可以加你微信吗,咨询微信
wechat给我,咨询微信
你们医院有微信号吗？,咨询微信
你们医院有QQ号吗？,咨询QQ
QQ是多少,咨询QQ
QQ号给我个,咨询QQ
给我个QQ号,咨询QQ
医院的QQ号是多少,咨询QQ
医院的QQ号是啥,咨询QQ
QQ号是多少,咨询QQ
QQ号有吗,咨询QQ
我要你们医院的QQ号,咨询QQ
有可以预约的QQ号吗,咨询QQ
有可以咨询的QQ号吗,咨询QQ
预约QQ号是多少,咨询QQ
QQ号码是多少,咨询QQ
我可以加你QQ号吗,咨询QQ
扣扣号给我,咨询QQ
qq号码是多少,咨询QQ
qQ是多少,咨询QQ
企鹅号给我,咨询QQ
告诉我路线,咨询路线
坐铁路几号线,咨询路线
到你们医院坐几号地铁,咨询路线
想问一下怎么到你们那,咨询路线
是的，想问一下怎么到你们那,咨询路线
请问坐地铁怎么去,咨询路线
公交坐几路车？,咨询路线
怎么去你们医院最方便,咨询路线
你们医院怎么走,咨询路线
医院咋走,咨询路线
怎么去你们医院,咨询路线
你们医院咋走方便呢,咨询路线
公交车有直达医院吗,咨询路线
医院的附近有什么车站点吗,咨询路线
咋去你们医院,咨询路线
医院怎么去,咨询路线
你们那边怎么走,咨询路线
可以坐地铁去吗,咨询路线
你们医院的路线怎么走,咨询路线
自己开车的话要怎么走,咨询路线
咨询公立私立,咨询公立私立
你们医院是公立医院吗,咨询公立私立
你们医院是私立医院吗,咨询公立私立
你们是公立还是私立医院？,咨询公立私立
你们医院是哪一级别的医院,咨询公立私立
你们是什么性质的医院,咨询公立私立
你们医院的地址在哪里,咨询地址
地址在哪,咨询地址
发下你们医院的地址,咨询地址
好的，给我个你们医院的地址,咨询地址
你们医院在哪个区,咨询地址
医院具体的位置是,咨询地址
医院的地址是啥,咨询地址
医院的位置发一个给我咯,咨询地址
方便发医院地址给我吗,咨询地址
你的地址给我个咯,咨询地址
给我个你们的地址,咨询地址
具体的地址给我一个,咨询地址
你们医院的定位发下,咨询地址
我想知道你们医院在哪里,咨询地址
咨询下医院的具体地址,咨询地址
具体位置是？,咨询地址
医院地址嘞？,咨询地址
我要你们的地址,咨询地址
我需要知道你们的具体地址,咨询地址
我需要知道你们的具体位置,咨询地址
医院的具体位置给我个,咨询地址
你们医院具体位于哪里,咨询地址
位置在哪里呢？,咨询地址
你们医院位于哪里,咨询地址
你们医院远不远啊,咨询地址
你们医院几点上班,咨询上班时间
几点下班,咨询上班时间
周末上班吗,咨询上班时间
上班时间？,咨询上班时间
你们节假日上班吗,咨询上班时间
明天过去,确定预约时间
我周末可以过去,确定预约时间
帮我预约下周,确定预约时间
帮我挂个号,确定预约时间
帮我约下午,确定预约时间
医生建议我们去大医院检查,描述就诊史
去医院检查过,描述就诊史
检查过了,描述就诊史
我来过你们医院,描述就诊史
去过你们哪,描述就诊史
检查过,描述就诊史
治疗过,描述就诊史
腹痛,描述症状
身体不适,描述症状
头晕,描述症状
没精神,描述症状
腰酸背痛,描述症状
那就先这样吧,无
好的,无
你在讲什么,无
嗯嗯,无
早上好,无
你好 怀孕7个月，走上路上突然腹痛了一会儿，但坐下就好了，是怎么回事？,咨询病因
你们医院的孕前检查项目有哪些项目,咨询检查方式
孕前检查项目,咨询项目介绍
人工受孕可以控制婆卵个数？,无
我想咨询&quot;处女莫是什么&quot;,咨询项目介绍
安环后多久久可以性生活呢,无
你们医院看什么病的,咨询公司介绍
我想要打胎药,咨询药物
我想咨询&quot;大姨妈推迟十天还没来原因&quot;,咨询病因
我想咨询"月经10多天没来严重吗",咨询危害
你们是玛利亚医院吗,咨询公司介绍
我想咨询&quot;成都妇科医院去哪比较好&quot;,咨询公司介绍
你们医院看什么病的,咨询公司介绍
我想咨询&quot;节育环分为几种&quot;,咨询项目介绍
你这个都是用什么技术？,咨询技术
技术是国内的还是国外的？,咨询技术
人工受孕是用什么技术？,咨询技术
无痛人流是引进国外技术吗？,咨询技术
韩国的人流技术是不是你们采用的？,咨询技术
科室仪器设备有用到哪些？,咨询仪器
早产儿恒温箱仪器你们医院有吗？,咨询仪器
心电监护仪器准吗？,咨询仪器
超声雾化器仪器你们是最新的吗？,咨询仪器
用的是四维彩超仪器设备,咨询仪器
要做CT仪器的检测吗？,咨询仪器
你好，前几天因为小肚子不舒服，有点痛，妇科检查用的什么仪器？,咨询仪器
你们医院妇产科常配备那些仪器和设备？,咨询仪器
那这个症状会持续多久?,咨询维持时间
请问这种情况会持续多久?,咨询维持时间
阴道紧缩术一般能维持多长的时间呢_,咨询维持时间
宫缩压维持60多久会生?,咨询维持时间
剖腹产后全身发抖会持续多久,咨询维持时间
上次在你那做的手术，治疗好后。可以维持多长时间？,咨询维持时间
阴道出血上次吃了药，已经好了。可以维持多久？,咨询维持时间
这个会不会肿胀,咨询会不会肿胀
肿胀感如何？,咨询会不会肿胀
做手术前要不要准备什么,咨询术前准备
明天就要做手术了，吃方面要注意吗？,咨询术前准备
术前要考虑什么？,咨询术前准备
做手术前有没有什么要交代的？,咨询术前准备
手术前可以剧烈运动吗？,咨询术前准备
手术前可以随便吃吗？,咨询术前准备
这个治疗要多久啊？,咨询治疗时长
治疗时间很长吗？,咨询治疗时长
明天赶时间。治疗要多少小时,咨询治疗时长
治疗会不会耽误我一个下午的时间,咨询治疗时长
治疗耗时多久？,咨询治疗时长
这个治疗一个下午的时间够吗？,咨询治疗时长
治疗要30分钟吗？,咨询治疗时长
做完手术后，有没有要注意的地方？,咨询术后注意事项
做完手术后，需要注意什么,咨询术后注意事项
昨天做完手术后。今天能运动吗？,咨询术后注意事项
昨天做完手术后。今天能吃辣椒吗？,咨询术后注意事项
术后是不是要注意不能太累,咨询术后注意事项
手术总共要做多久,咨询手术时长
手术一个小时够吗？,咨询手术时长
手术30分钟够吗？,咨询手术时长
手术是不是要一个下午,咨询手术时长
手术要多长时间？,咨询手术时长
人工流产术要多久,咨询手术时长
清宫术是不是很快就完了,咨询手术时长
诊刮手术要多长时间,咨询手术时长
上次在你们那做手术，效果不好。我想退款,退款
我要退款,退款
剖腹产你们会打麻药吗？,咨询麻药
你们打完麻药会不会还有通,咨询麻药
无痛人流是因为麻药起作用吗？,咨询麻药
二次消费会不会少费用,二次消费
顺产会不会有后遗症,咨询后遗症
剖腹产会不会有后遗症,咨询后遗症
做完手术会不会有后遗症,咨询后遗症
你们成功率如何？,咨询成功率
剖腹产你们都会成功吗？,咨询成功率
这个手术成功率怎样？,咨询成功率
能不能发下你们的成功案例给我？,咨询成功案例