sentence,label
那么治疗效果好吗，,咨询疗效
耳部内窥镜,咨询检查方式
也可以治好吗,咨询疗效
内镜检查,咨询检查方式
想预约一下专家门诊号,确定预约时间
声阻抗检查,咨询检查方式
去年在军区总医院看的，挂了一周水,描述就诊史
大约需要多少费用，我是自费的,咨询价格
中耳炎手术有多大风险,咨询动刀
鼻炎可以治彻底吗,咨询疗效
耳部检查,咨询检查方式
耳鸣可以治疗吗,咨询治疗方式
鼻腔镜,咨询检查方式
我想问一下你们医院医生什么时候上班呢,咨询上班时间
能彻底治疗恢复正常吗？,咨询疗效
咽内镜,咨询检查方式
需要预约吗？人多吗？,确定预约时间
看鼻科哪个专家好啊,咨询专家
还有具体位置在哪里,咨询地址
你们这个异地医保报销吗,无
医生把您的微信号发给我吧,咨询微信
耳鸣能治愈吗,咨询疗效
你好！我想请问下明天耳科有专家号吗？,咨询专家
电测听,咨询检查方式
耳部内窥镜检查疼吗,咨询检查方式
随治随走吗,咨询住院
好的。治疗费用大么？,咨询价格
一般需要多久可以见效,咨询疗程
耳道镜检查,咨询检查方式
咽喉内窥镜,咨询检查方式
需要手术吗,咨询动刀
鼻镜,咨询检查方式
你好，我想问下，治疗大概要多少钱？,咨询价格
治疗一般要多少钱？,咨询价格
告知一下费用,咨询价格
价格是多少呢？,咨询价格
治疗下来需要花多少钱？,咨询价格
是怎么收费的？,咨询价格
费用怎么算的？,咨询价格
要多少钱呢,咨询价格
一般要多少钱,咨询价格
你就告诉一声，具体要多少钱？,咨询价格
大概要多少钱呀,咨询价格
治疗要多少钱？,咨询价格
要是到你们医院治疗的话估计需要多少钱？,咨询价格
像我这样的大概的花多少钱呢,咨询价格
我想问一下 具体费用,咨询价格
要多少钱,咨询价格
然后你预计我这个得花多少钱,咨询价格
看我这样的病大概需要多少钱,咨询价格
治疗大概需要多少费用了,咨询价格
多少钱,咨询价格
平常价格是多少钱啊,咨询价格
费用多少,咨询价格
得多少钱,咨询价格
说一下价格是多少？,咨询价格
麻烦讲一下费用是多少？,咨询价格
需要多少钱？,咨询价格
治疗费用怎么算的？,咨询价格
价格是多少？,咨询价格
想先了解一下价格,咨询价格
想问下治疗需要多少钱？,咨询价格
治疗的费用是多少？,咨询价格
和我讲一下大概费用吧,咨询价格
米粒大小的白点，诊断为色素脱失需多少钱大概,咨询价格
请问你们那里挂号费多少钱呢,咨询价格
我想问一下抗复发的药一个月多少钱,咨询价格
你们医院采用的治疗方式是什么？,咨询治疗方式
治疗方式？,咨询治疗方式
都有哪些治疗方式,咨询治疗方式
主要是通过什么方式治疗的,咨询治疗方式
目前通用的治疗方式是那种？,咨询治疗方式
那种治疗方式靠谱点？,咨询治疗方式
通过什么方式治疗的,咨询治疗方式
治疗方式有哪些？,咨询治疗方式
传统的治疗方式都有哪些,咨询治疗方式
保守的治疗方式有哪些,咨询治疗方式
可以治疗吗,咨询治疗方式
请问医生怎么办好？,咨询治疗方式
有哪些治疗方案吗,咨询治疗方式
怎样冶,咨询治疗方式
请问怎样能冶愈,咨询治疗方式
这个可以医吗？,咨询治疗方式
白癜风有法治吗,咨询治疗方式
有法治疗吗,咨询治疗方式
请问可以用药物治疗吗？,咨询药物
能治吗？,咨询治疗方式
医生我这病能够医治吗？[流泪],咨询疗效
这种好治疗吗,咨询治疗方式
10多年了，没什么好判断，说说你们有什么治疗方案？,咨询治疗方式
你有什么办法吗？,咨询治疗方式
这个好治疗吗？,咨询治疗方式
怎样控制，,咨询治疗方式
一般检查后，给予的治疗有哪些？,咨询治疗方式
能医治吗,咨询疗效
能治疗吗,咨询治疗方式
我就是想问能否治疗,咨询治疗方式
你好，怎么搞,咨询治疗方式
有好的方法治么,咨询治疗方式
治愈的方式有哪些,咨询治疗方式
治好这个要怎么做,咨询治疗方式
这个要怎么治疗,咨询治疗方式
有什么好的方法,咨询治疗方式
治疗的方法有哪些,咨询治疗方式
我只是想问一下怎么去掉它,咨询治疗方式
怎样去除,咨询治疗方式
小孩胎记如何处理,咨询治疗方式
新生儿胎记怎么消除,咨询治疗方式
怎么消除,咨询治疗方式
最好的方法,咨询治疗方式
怎么去除,咨询治疗方式
用什么方法治疗的呢,咨询治疗方式
怎么可以去掉,咨询治疗方式
方法有哪些,咨询治疗方式
胎记怎么处理,咨询治疗方式
如何治疗的,咨询治疗方式
怎么办呢,咨询治疗方式
眼代怎么治,咨询治疗方式
多久能治好,咨询疗程
治好会花很长时间吗,咨询疗程
需要花很长时间去治疗吗,咨询疗程
虚要治疗多久,咨询疗程
治疗过程会很长吗,咨询疗程
需要做几个疗程？最近没时间,咨询疗程
需要几个疗程呢？,咨询疗程
这个有疗程的吗？,咨询疗程
它有分疗程吗？,咨询疗程
做一次就好了吧？,咨询疗程
需要做几次？,咨询疗程
需要几个疗程？,咨询疗程
一般要治疗几次？,咨询疗程
需要多少时间？,咨询疗程
她说很简单，我的一次就可以治疗,咨询疗程
几天打一次,咨询疗程
需要一直治下去吗,咨询疗程
间隔多久做一次,咨询疗程
诊疗过程长吗,咨询疗程
这个治疗时间很短吧,咨询疗程
治疗不用花很长时间吧,咨询疗程
要治很长时间吗,咨询疗程
疗程怎么样,咨询疗程
分几次治疗呢,咨询疗程
需要做几个疗程？,咨询疗程
一般要做多少次？,咨询疗程
治疗需要多久,咨询疗程
一次治疗需要多久,咨询疗程
单次治疗需要多久,咨询疗程
多长时间可以修复,咨询疗程
治疗需要多长时间,咨询疗程
多久能看到效果？,咨询疗程
需要多久可以矫正,咨询疗程
祛疤要做几次？,咨询疗程
要做几次才能见效果呀,咨询疗程
效果如何？,咨询疗效
治疗效果怎么样,咨询疗效
疗效怎么样,咨询疗效
效果好不好,咨询疗效
做完会有改善吗？,咨询疗效
效果怎么样啊？,咨询疗效
效果好吗？,咨询疗效
有效果吗？,咨询疗效
做完会不会没用啊？,咨询疗效
那效果怎么样啊？,咨询疗效
效果怎么样？,咨询疗效
治疗了之后改善大吗？,咨询疗效
治疗后的效果怎么样？,咨询疗效
治疗之后可以改善吗？,咨询疗效
可以达到理想效果吗？,咨询疗效
有治疗的效果吗？,咨询疗效
能治疗好吗,咨询疗效
都说这个病是治不好的,咨询疗效
我听说这种病治不好的,咨询疗效
能不能彻底治好,咨询疗效
可以治愈吗,咨询疗效
可以根治吗,咨询疗效
会反弹吗,咨询疗效
能彻底修复吗？？,咨询疗效
能冶好吗,咨询疗效
把人疼醒,描述症状
哪一种是无痛不开刀的,咨询动刀
瘦腿针打一个月后疼为什么,咨询病因
去过渤海医院建议我激光点阵 我怕疼就没弄,描述就诊史
手术用开刀吗？,咨询动刀
但是我听他说20多天了还是好痛,描述症状
要治疗多久,咨询疗程
是不是要住院呢,咨询住院
要住院多久,咨询住院
如果需要住院的话可能要等一段时间,咨询住院
需要住院吗,咨询住院
住院要住多久,咨询住院
住院的话我就暂时不考虑了,咨询住院
需要留院观察吗,咨询住院
不住院可以吗,咨询住院
不想呆医院,咨询住院
不想住院,咨询住院
能不住院吗,咨询住院
医院环境受不了,咨询住院
不住院行不行,咨询住院
住院治疗还是？,咨询住院
我不想住院,咨询住院
要不要住院？,咨询住院
需不需要住院？,咨询住院
是否需要住院,咨询住院
不需要住院吧,咨询住院
为啥要住院,咨询住院
一定要住院吗,咨询住院
需要住院治疗吗,咨询住院
需要入院接受手术吗,咨询住院
手术当天可以回家吗？,咨询住院
需要住多久呢,咨询住院
最短在院时间多久 一个人可以去吗,咨询住院
假体隆胸住院几天？,咨询住院
今天要是做，晚上不能回家吗,咨询住院
住院治疗的？,咨询住院
住几天院,咨询住院
随坐随走还是住院,咨询住院
可是我同事在华美那边做的 住院了两天,咨询住院
那就要住院治疗吗,咨询住院
这种病需要住院吗？,咨询住院
用什么药物治疗,咨询药物
是用中药还是西药,咨询药物
具体用什么药呢,咨询药物
药物有什么特殊要求吗,咨询药物
能吃什么药物缓解呢,咨询药物
有什么特效药吗,咨询药物
有推荐的药物吗,咨询药物
现在用巴克呢,咨询药物
我儿子十五岁刚开始是背上有，后来背上看着好像没有了，然后脖子变瘦还脸上也有，到附近诊所问了一下说是汗斑，这个可以买什么药擦吗,咨询药物
因为疫情期间不能来就诊了,吃了一个疗程的药,咨询药物
有药治吗,咨询药物
我没用药..,无
一般都是涂药吗,咨询药物
可以帮我开点药吗,咨询药物
我想通过药物治疗,咨询药物
你们医院用什么药,咨询药物
我就是想买点药,咨询药物
有没有药,咨询药物
可以用中药调理吗,咨询药物
我们昨天出院开了一些激素药,咨询药物
吃药,咨询药物
擦外用药,咨询药物
涂药膏,咨询药物
吃啥药啊,咨询药物
需要动刀吗,咨询动刀
不动刀可以么,咨询动刀
治疗得动刀？,咨询动刀
动刀才能治疗？,咨询动刀
要动刀？,咨询动刀
不用手术吧。,咨询动刀
背腰部，有近二十年了，没发展，基本属于稳定型。请问林老师象这种可以做手术吗？黑色素细胞种植,咨询动刀
要做手术吗,咨询动刀
要动刀吗,咨询动刀
不做手术可以吗,咨询动刀
需要开刀吗,咨询动刀
手术危险吗,咨询动刀
会开刀吗,咨询动刀
需要动刀子吗,咨询动刀
是不是还要动刀,咨询动刀
你说一这个疤要动手术。,咨询动刀
是不是要做手术,咨询动刀
这种是不用做手术的吗,咨询动刀
能不做手术吗,咨询动刀
注射应该不用动手术吧,咨询动刀
就是不用再动手术了嘛？,咨询动刀
是不是要切除手术,咨询动刀
可以不做手术吗？,咨询动刀
手术不用开刀吗？,咨询动刀
坐手术吗？,咨询动刀
只能手术么,咨询动刀
需要做什么手术,咨询动刀
应该不用动手术吧,咨询动刀
要做哪些检查,咨询检查方式
主要检查什么,咨询检查方式
有哪些检查方式,咨询检查方式
你们医院采用的是哪些检查方式,咨询检查方式
检查要查些什么,咨询检查方式
诺氨酸酶检查,咨询检查方式
免疫检查,咨询检查方式
坑黑色素抗体检测,咨询检查方式
一般怎么查,咨询检查方式
病因怎么捡查出来,咨询检查方式
检查项目有哪些？,咨询检查方式
病因检查项目有哪些？,咨询检查方式
检查要做几项？,咨询检查方式
都有哪些检查,咨询检查方式
检查什么项目呢？,咨询检查方式
怎么检查,咨询检查方式
要做哪些检查？,咨询检查方式
这个要怎么查,咨询检查方式
只是怀疑，不知去什么科检查,咨询检查方式
应该挂什么科室检查,咨询检查方式
想去检查，不知道去检查什么，过敏原做过，没有问题,咨询检查方式
要怎么查呢,咨询检查方式
哦，现在要做这个检查，做哪一个检查好一点,咨询检查方式
是想检查了,咨询检查方式
现在要是去医院做些啥子检查呢,咨询检查方式
就是说如果我现在要孩子，需要怎么检查,咨询检查方式
检查需要多少钱,咨询检查费用
检查价格,咨询检查费用
检查费用,咨询检查费用
检查一下需要多少钱,咨询检查费用
普通检查多少钱,咨询检查费用
常规检查下来多钱,咨询检查费用
检查费用是多少？,咨询检查费用
检查要多少钱,咨询检查费用
检查大概要花多少钱,咨询检查费用
检查下来多少钱,咨询检查费用
为什么会长白斑,咨询病因
有具体的病因,咨询病因
病因,咨询病因
病因是啥,咨询病因
什么会导致长白斑,咨询病因
长白斑的原因是什么,咨询病因
脸上又白块是怎么回事5岁,咨询病因
我想咨询皮肤有白块是什么原因,咨询病因
宝宝三四个月才出现的白斑是什么原因导致的,咨询病因
5个月小孩腋下有个白点是什么原因,咨询病因
眉毛脱掉了半边，怎么回事,咨询病因
小孩脸上有白块一般是什么原因,咨询病因
一般红点怎么回事,咨询病因
大概怎么回事,咨询病因
指尖发白，一会儿就好了，是什么愿因,咨询病因
会不会与烫头发有关呢,咨询病因
只是想了解一下，白癜凤这总病是怎么形成的,咨询病因
这是为什么呀,咨询病因
是缺维生素吗,咨询病因
什么引起的,咨询病因
病因是什么,咨询病因
病因是什么？,咨询病因
主要病因是？,咨询病因
致病因？,咨询病因
致病因是什么？,咨询病因
我为什么会得这个病？,咨询病因
那是什么原因呢？,咨询病因
是什么原因造成的呢？,咨询病因
主要是什么原因导致的？,咨询病因
为什么会这样,咨询病因
主要影响那些方面,咨询危害
会造成什么严重的后果吗,咨询危害
会导致什么,咨询危害
主要影响人体那些方面,咨询危害
危害主要表现在哪些方面？,咨询危害
和我讲一下危害？,咨询危害
对人体危害大吗？,咨询危害
这个有什么影响嘛,咨询危害
您能告诉我具体有什么危害吗,咨询危害
不治疗对身体有没有坏处,咨询危害
那会影响什么,咨询危害
有危害吗？,咨询危害
会不会有危害啊,咨询危害
会有影响吗,咨询危害
口吐白沫,描述症状
头痛,描述症状
老毛病了,描述症状
耳朵穿孔,描述症状
耳朵嗡嗡响,描述症状
耳膜穿孔,描述症状
我的左耳老是感觉像刮风的声音,描述症状
左耳总是不停的响，,描述症状
耳朵经常痒，流水,描述症状
请问 中耳炎 怎么办,咨询治疗方式
耳朵疼,描述症状
你好，我想问一下补耳膜需要多少钱,咨询价格
中耳炎导致的穿孔,描述症状
神经性耳鸣,咨询项目介绍
神经性突发性耳鸣,咨询项目介绍
小孩神经性耳聋能治好吗,咨询疗效
中重度耳聋,描述症状
做一次鼻炎手术大概多少钱,咨询价格
耳朵里面有黄色的东西，有臭味，还疼,描述症状
耳朵整个都肿了,描述症状
耳膜给挖通了，怎么能好,咨询治疗方式
女生睡觉打呼怎么办,咨询治疗方式
电子喉镜,咨询检查方式
我声带有白斑，吐黄色浓啖,描述症状
我觉得有点感冒，引起云耳朵听力不好怎么回事,咨询病因
耳朵流脓水,描述症状
耳朵流黄水,描述症状
你好，我一觉醒来左耳朵嗡嗡作响,描述症状
医生你好！谢谢您，我的二耳吱吱叫，是什么问题,咨询病因
听力有下降,描述症状
请问，一般鼻中隔偏曲矫正需要多少钱？,咨询价格
耳朵有气塞怎么回事,咨询病因
在泰兴人医做过检查，说是混合性耳聋,描述就诊史
我最近老是鼻子出血,描述症状
左耳听不见，一个半月左右,描述症状
中耳炎已有二十年了，常流脓现在耳膜穿孔了，怎么办？,咨询治疗方式
江医师好！我孙子有鼻窦炎老是流鼻涕，怎么办？,咨询治疗方式
这几日，耳朵有呼呼的风声,描述症状
我感冒快1个月了，中间好1次，隔2天又感冒了，一直吃药都不管用，最近流鼻涕很严重，想问下医生，这种情况会不会是鼻炎导致的，因为鼻子一直不舒服,咨询病因
孩子5岁，浓鼻涕特别多,描述症状
是耳朵像吹哨一样。白天还好，夜晚感觉很明显。不知道是什么原因,咨询病因
先天性耳聋怎么治疗,咨询治疗方式
耳朵响怎么、回事,咨询病因
不知道啥原因。耳朵里面疼的都睡不了觉,咨询病因
耳鸣偶尔伴有隐隐的疼,描述症状
你好，声带息肉药物能治好吗,咨询疗效
鼻炎致设有嗅觉能治疗了？,咨询治疗方式
咽口水头疼痛,描述症状
你好我的左耳听力下降，还有耳鸣好长时间了,描述症状
请问小孩10岁了，扁桃体肿大，还能自行缩小吗？不能怎么办？,咨询治疗方式
鼻子经常不通气,描述症状
连续几天鼻子出血情况怎么办,咨询治疗方式
主要是白昼嗜睡,描述症状
坐着睡着了，都会打呼,描述症状
鼻窦炎犯了头昏，记忆力下降的厉害，反应特别迟钝,描述症状
我的耳朵里面流黄水，好几个月了,描述症状
喉咙息肉怎么治,咨询治疗方式
请问鼻中隔手术要多少时间才能好,咨询疗程
意思我晚上睡觉老打呼噜,描述症状
扁桃体肥大怎保守治疗啊,咨询治疗方式
耳朵里面长了个东西,描述症状
你好！近来老是感觉耳朵不舒服，内部哄哄的，听不清声音！,描述症状
有二年多了，只是耳朵里面响，别的没有什么。,描述症状
你好我是耳朵右耳膜穿孔相当于全部烂掉了，需要做手术修补，大概费用需要多少，,咨询价格
上颌窦炎,描述症状
我小孩鼻子长鼻吸肉怎么办,咨询治疗方式
我上网查了下我有慢性额鼻窦炎,描述症状
就是呼吸不畅通,描述症状
好的。我明天下午有空。你们下午几点上班啊？,咨询上班时间
左耳完全听不到,描述症状
耳朵雯雯响,描述症状
鼻甲肥大会导致头晕吗,咨询危害
腺样体肥大需要手术嘛,咨询动刀
嗯嗯，每次到换季，或者冬天的时候，就会一直打喷嚏，流鼻涕,描述症状
耳朵里发出嘤嘤嘤的声音,描述症状
三个月宝宝耳朵里流黄水,描述症状
我想再问你下，头发卡在咽部的上处，你这儿能看吗,描述症状
扁桃体发炎怎么办？一直复发,咨询治疗方式
耳膜穿孔多久能治好,咨询疗程
就最近一个星期鼻塞严重，平常的话嗓子里痰会很多,描述症状
耳朵出血怎么办,咨询治疗方式
耳朵里面好像有肉钉,描述症状
您好潘医生，贵院神经性耳鸣，可以治吗,咨询治疗方式
我上午头低，鼻子特然出血鲜红．没本人没有挖鼻腔、从木有此现像……有高血压史．现在一，会止住血没有任何症状。請问是什么原因造成的,咨询病因
我家小孩，总是会有鼻涕，以前到上海复大医院治疗,描述就诊史
你好，我耳朵里边疼，这都四五天了，也不见好，不知道什么原因,咨询病因
我鼻子不透气很囊,描述症状
咽喉干痒,描述症状
喉咙息肉怎么治疗,咨询治疗方式
我感冒引起鼻窦炎请问有什么方法可以治疗,咨询治疗方式
我家小孩6岁腺样体肥大我不想给他手术想用药物治疗行吗,咨询药物
我好想是慢性咽炎,描述症状
下鼻甲肥大,咨询项目介绍
你好，我鼻中隔稍偏左，要是做手术大概多少钱？,咨询价格
中耳炎里面长肉牙,描述症状
突发性耳聋能治好吗,咨询疗效
睡觉打呼，有药可吃吗？,咨询药物
我妈妈今年57，一直打呼噜，然后白天经常会不自觉的睡着,描述症状
诊断意见鼓膜穿孔左,描述症状
我家小孩一周多岁   鼻子老是不通气,描述症状
扁桃体手术多少钱？,咨询价格
鼻息肉的话有哪些症状呀,无
喉咙里总是觉得有痰，咽不下去也咳不出来，怎么回事,咨询病因
去年開始耳鳴,描述症状
我小孩有鼻息肉，流鼻涕，晚上睡觉打呼,描述症状
医生好，女子三十岁左耳被打穿孔，住院开刀后未治愈，现在能治愈吗,咨询疗效
请问一下两个鼻孔交替着堵，怎么回事啊？,咨询病因
右耳听不清楚，有时候听不见。,描述症状
我有个表妹十一年前就耳朵发炎化脓，一直治疗没有效果,描述就诊史
我喉咙肿痛了几天了，吃了很多药都没效果,咨询药物
扁桃体发炎了肿的很大怎么办,咨询治疗方式
我问一下，你们这里可以治疗嗓音方面那些病？,咨询公司介绍
割小耳大概需要多久修复,咨询疗程
我鼻孔处糜烂,描述症状
你好、我想问下我喉咙随时都痛、晚上也痛、吞口水都痛、白天稍微轻松点,描述症状
我的左耳感觉有东西堵着对外界的声音很小，该怎么办呢？,咨询治疗方式
耳膜破碎怎么修复,咨询治疗方式
我睡觉耳朵咚咚的响是什么原因,咨询病因
鼻后滴漏综合症,描述症状
鼻窦里面那个谈止不住的往喉咙里流,描述症状
我这两天有点感冒鼻塞 然后今天鼻涕里面有血 是个什么情况,咨询病因
请问耳朵掏到嗡嗡的响怎么办,咨询治疗方式
嗓子沙哑将近二年了,描述症状
三岁小女孩鼻子长了息肉,描述症状
鼻涕黄浓,描述症状
左边鼻子里面长了肉球红色的是啥,描述症状
耳膜塌陷,描述症状
先天性耳膜塌陷,描述症状
请问我额头眼部胀痛,描述症状
鼻子里面是红色的,描述症状
现在感冒好了。鼻孑不通气,描述症状
鼻塞怎样解决？,咨询治疗方式
我的鼻子经常堵塞，特别是晚上睡觉的时候堵的睡不着,描述症状
我就是鱼刺卡在喉咙上，试了很多方法都还卡在喉咙上,咨询治疗方式
一只耳朵耳呜就像是蝉鸣,描述症状
我就是感觉脖子痛,描述症状
请问流黄色浓鼻涕是什么原因呢？,咨询病因
鼻塞,描述症状
感冒鼻涕由清变黄,描述症状
你好，就是我的鼻孔里好像有一个包，是硬的。但是不痛不痒也不影响呼吸，是什么情况？,咨询病因
喉咙异物感,描述症状
鼓膜修补手术大约多少钱,咨询价格
喉咙长了细肉怎么办,咨询治疗方式
喉咙息肉,描述症状
你好，我想了解一下，流出来黑色的鼻涕，而且发臭,描述症状
霉菌性外耳道炎症怎么治疗啊,咨询治疗方式
喉咙有很多滤泡，有异物感,描述症状
感冒嗓子发炎,描述症状
歪鼻骨折能矫正吗,描述症状
耳前瘘管手术怎么做啊？,咨询治疗方式
耳前瘘管手术后可以回西藏吗？,咨询住院
做耳膜修补需要多少费用大概？,咨询价格
你好，我鼻中隔穿孔1厘米能修补吗,描述症状
可以看下咽癌吗,描述症状
这个会不会是鼻咽癌啊,无
慢性咽炎能根治吗,咨询疗效
前天我耳芯突然痛的历害，是一阵一阵的痛。,描述症状
我每年到了冬天就鼻涕特别多是怎么回事？,咨询病因
耳门一触碰耳心就扎针一样的疼,描述症状
扁桃体化脓了,描述症状
会厌下面有囊肿,描述症状
喉咙不舒服，老是沙哑，说不出来话,描述症状
鼻头也点肿,描述症状
外耳道长了个小包，，刚开始的时候碰到都疼，现在不疼了，可还是在哪里，这是什么情况啊,咨询病因
我就是感觉耳朵氧，想去清理一下,描述症状
卡着痰咳不出,描述症状
我的声音沙哑有20年了，还可以医吗,咨询治疗方式
你好，我的鼻子很干很痛，鼻子感觉有东西，用手伸进里面能摸到疙瘩，经常都有交替性鼻塞,描述症状
爱打喷嚏 只要一打喷嚏 绝对得要流鼻涕,描述症状
请问右扁桃肿大怎么治,咨询治疗方式
你好我是一名耳鸣眩晕患者请问有什么办法能根治吗,咨询治疗方式
三岁宝宝扁桃化脓一定要打点滴吗?,无
你好，请问我小孩晚上睡一觉起来，耳朵就聋了，头晕，耳朵响，是什么原因呢？,咨询病因
听力下降，听力测试中度受损,描述症状
您好！我从西藏回家后，爱流鼻涕，特别是冷的时候，没感冒,描述症状
我鼻子不能呼吸 只是用嘴巴呼吸  怎么办呢,咨询治疗方式
做ct是左侧筛窦粘膜增厚,描述症状
请问做CT扫及头脑双侧上颌窦筛窦粘膜增厚是怎么回事,咨询病因
核磁共振检查我姑娘她4岁半鼻内组织增厚腺体肥大，同时耳朵有乳突炎症,描述症状
慢性中耳乳突炎,咨询项目介绍
耳朵涨痛，分泌有浓液，CT检查乳突发炎,描述症状
重度急性耳聋可以治疗不,咨询治疗方式
脑鸣治疗问题,咨询治疗方式
从小就经常喉咙红，发炎,描述症状
喉咙里感觉有异物   咳不出   咽不下    早上刷牙还干呕    是怎么回事,咨询病因
我喉咙起了两个包,描述症状
我喉咙两遍长了两个包,描述症状
说话声音沙哑两个月了是怎么回事,咨询病因
我喜欢用手掏耳朵👂，现在头痛,描述症状
请问慢性咽喉炎怎么治,咨询治疗方式
慢性鼻炎是可以手术的吗,咨询动刀
娃娃耳痛、睡着都痛醒了,描述症状
鼻息肉肥大,描述症状
每天睡觉都感觉呼吸难受,描述症状
我打呼噜 睡觉被逼醒 这一年多发生几次了 以前没有,描述症状
睡眠呼吸暂停综合症,描述症状
睡觉老是打鼾,描述症状
耳朵突然耳嗚,描述症状
我男朋友晚上睡觉打呼噜声音大伴有呼吸困难症状,描述症状
鼻子干燥，鼻涕中有血丝，呼出的气感觉很热，咽部有异物感，很多痰，总在吐白色不浓的痰，曾有头晕眼花的症状，背部疼痛，颈子酸胀，,描述症状
小孩儿嗓子一直哑是怎么回事,咨询病因
脖子肿起来了,描述症状
额窦炎,描述症状
喉咙有东西怎么才能弄出来呢,咨询治疗方式
耳朵   长期有中耳炎  比较严重,描述症状
我想咨询一下喉咙有异物感怎么回事,咨询病因
请问修复耳膜可以吗？,咨询治疗方式
我声带有息肉，吃药能消吗,咨询药物
医生我的孩子喉咙一直都发炎怎么办呢？我们去保健院看了的好了一些。但是还是在发炎。她过几天又要发炎，给我说一说，怎么治这种病呢？,咨询治疗方式
就是不知道怎么回事就流了好多鼻血,咨询病因
我鼻子痒，还有很多鼻涕,描述症状
你好，请问流鼻血怎么治疗,咨询治疗方式
喉咙里面有异物感，想吐又吐不出来，用多大劲吐出来给小米一样,描述症状
宝宝附耳可以手术吗,咨询动刀
耳廓软骨成形术可以做吗,无
嗓子特别痛,描述症状
喉咙卡了鱼翅怎么办,咨询治疗方式
耳朵中度受损治疗,咨询治疗方式
小孩子说耳朵里疼是怎么回事？,咨询病因
我鼻子左边，有时候通有时候不通。天气好就通。怎么回事。,咨询病因
今年九岁半女孩鼻炎己有两年,描述症状
医生你好，扁桃体发炎两天了，不太讲的了话，喉咙很疼，吸气呼气都很疼，怎么办,咨询治疗方式
小孩鼻窦炎,咨询项目介绍
我喉咙那里有好多肉球一样,描述症状
我娃儿扁桃体肥大怎么做,咨询治疗方式
我娃儿睡觉老打呼噜,描述症状
我想问下吐的白色谈、咽喉异物感   咽干,描述症状
请问，急性化胧性扁桃体是怎么引起的？,咨询病因
我有甲状腺结节！,描述症状
喉咙里没感觉就是咽口水的时候那个肿块疼连着耳朵有点疼,描述症状
每到冬天，我的鼻子里就没有皮，红红的，很痛。怎样治,咨询治疗方式
耳朵当当响,描述症状
声音嘶哑,描述症状
请问喉咙里有痰咳不出来咽不下是什么原因？,咨询病因
您好，王医生我现在耳朵特别疼，该怎么办？,咨询治疗方式
我想问一下白内障能治吗,咨询治疗方式
我耳朵堵，听声音朦胧,描述症状
现在做打鼾手术要多钱？,咨询价格
经常在耳朵里流脓,描述症状
小孩睡觉打呼噜是什么引起的？,咨询病因
我小孩子没有感冒鼻子里面睡觉时候也有嗡嗡的响声，怎么回事,咨询病因
鱼池卡候怎么处理？,咨询治疗方式
耳前瘘管发炎了,描述症状
鼻子长期有一边堵塞,描述症状
左耳有蝉鸣,描述症状
滤泡增生,描述症状
