sentence,label
过敏鼻出血,咨询项目介绍
检查说有甲亢,描述就诊史
甲状腺功能亢进症,咨询项目介绍
以前在老家高淳照过喉镜说声带麻痹，自己会好的，最近越来越严重了,描述就诊史
喉咙沙哑,描述症状
甲状腺左右两侧叶结节,描述症状
甲状腺瘤手术,咨询动刀
你们医院检查甲状腺不,咨询公司介绍
之前查是甲状腺结节，,咨询项目介绍
我最近查出来了甲状腺癌,描述症状
前几天也查了甲状腺，说里面有结节,描述症状
您好，脖子粗怎么回事,咨询病因
甲状腺肿大怎么办,咨询治疗方式
耳部疾病,咨询项目介绍
耳朵出水,咨询项目介绍
耳朵痛,咨询项目介绍
耳鸣,咨询项目介绍
中耳炎,咨询项目介绍
中耳癌,咨询项目介绍
乳突炎,咨询项目介绍
外耳道炎,咨询项目介绍
耳聋,咨询项目介绍
先天性耳聋,咨询项目介绍
传导性耳聋,咨询项目介绍
神经性耳聋,咨询项目介绍
突发性耳聋,咨询项目介绍
鼓膜穿孔,咨询项目介绍
人工耳蜗,咨询项目介绍
鼻部疾病,咨询项目介绍
鼻子不通,咨询项目介绍
鼻炎,咨询项目介绍
过敏性鼻炎,咨询项目介绍
鼻窦炎,咨询项目介绍
鼻甲肥大,咨询项目介绍
鼻中隔偏曲,咨询项目介绍
鼻息肉,咨询项目介绍
鼻腔异物,咨询项目介绍
鼻腔囊肿,咨询项目介绍
鼻中隔穿孔,咨询项目介绍
鼻出血,咨询项目介绍
鼻咽炎,咨询项目介绍
咽喉疾病,咨询项目介绍
喉咙疼痛,咨询项目介绍
咽喉炎,咨询项目介绍
咽异感症,咨询项目介绍
咽部异物,咨询项目介绍
咽喉部肿瘤,咨询项目介绍
喉炎,咨询项目介绍
喉癌,咨询项目介绍
扁桃体炎,咨询项目介绍
扁桃体结石,咨询项目介绍
扁桃体肿大,咨询项目介绍
会厌炎,咨询项目介绍
腺样体肥大,咨询项目介绍
声带息肉,咨询项目介绍
声带小结,咨询项目介绍
声带麻痹,咨询项目介绍
鼾症,咨询项目介绍
儿童鼾症,咨询项目介绍
甲状腺疾病,咨询项目介绍
甲状腺结节,咨询项目介绍
甲状腺肿,咨询项目介绍
甲状腺炎,咨询项目介绍
去医院检查过了也没有查出来什么原因,描述就诊史
好吧  你们医院地址在哪？,咨询地址
发个医院地址过来,咨询地址
你们医院位置在哪儿啊,咨询地址
你们医院在哪块呢,咨询地址
你们医院在哪里,咨询地址
发我一个你们医院的地址可以吗,咨询地址
你们医院大概在那一块呢,咨询地址
你们医院位置方便的话发我一下,咨询地址
医院坐标发我,咨询地址
你们医院的坐标发我,咨询地址
你们医院的位置发我,咨询地址
医院具体地点在哪里,咨询地址
你们院地址在？,咨询地址
你们医院在什么地方,咨询地址
你们的医院🏥 在哪里呢,咨询地址
你门医院在哪里,咨询地址
咱们医院在哪,咨询地址
您医院地址是哪里,咨询地址
医院在哪,咨询地址
医院在那个区啊,咨询地址
你们医院在那个位置,咨询地址
您好咱们医院地址在哪,咨询地址
你们医院在哪,咨询地址
医院在什么地方,咨询地址
那行，医院的具体地址在哪里？,咨询地址
你这个医院在哪里？,咨询地址
医院地址在哪里,咨询地址
我问一下你们医院在哪,咨询地址
请问你们医院的具体位子,咨询地址
你们这是哪里的医院呀？,咨询地址
是在安顺市吗？,咨询地址
医院是在六盘水市吧,咨询地址
你是哪里哦,咨询地址
您好咱们地址在哪,咨询地址
是在山东吗？,咨询地址
地址发我,咨询地址
地址在哪里呢,咨询地址
你们在什么地方？,咨询地址
请问您地址在哪里,咨询地址
你的地址在哪,咨询地址
我们这个学校在上海哪里？有其他分院吗,咨询地址
你们医院的地址在哪里,咨询地址
发下你们医院的地址,咨询地址
好的，给我个你们医院的地址,咨询地址
你们医院在哪个区,咨询地址
医院具体的位置是,咨询地址
医院的地址是啥,咨询地址
医院的位置发一个给我咯,咨询地址
方便发医院地址给我吗,咨询地址
你的地址给我个咯,咨询地址
给我个你们的地址,咨询地址
具体的地址给我一个,咨询地址
你们医院的定位发下,咨询地址
我想知道你们医院在哪里,咨询地址
咨询下医院的具体地址,咨询地址
具体位置是？,咨询地址
医院地址嘞？,咨询地址
我要你们的地址,咨询地址
我需要知道你们的具体地址,咨询地址
我需要知道你们的具体位置,咨询地址
医院的具体位置给我个,咨询地址
你们医院具体位于哪里,咨询地址
位置在哪里呢？,咨询地址
你们医院位于哪里,咨询地址
你们医院远不远啊,咨询地址
你们公司在哪？,咨询地址
问你们店在哪？,咨询地址
我问你们店在福田嘛？,咨询地址
你们医院在成都那里呢,咨询地址
学校具体地点在哪里,咨询地址
你们学校地址在？,咨询地址
你们在什么地方,咨询地址
地址在哪,咨询地址
在北京什么地方那个区,咨询地址
你们医院是公立还是私立医院,咨询公立私立
你们医院是私立的？,咨询公立私立
你们医院是公立的？,咨询公立私立
这个正规吗？,咨询公立私立
你们是正规的医院嘛,咨询公立私立
是正规医院吗？,咨询公立私立
你们是正规医院吗？,咨询公立私立
你们医院是私立的,咨询公立私立
你们医院是公立的,咨询公立私立
你们是公立医院吗,咨询公立私立
你们是私立医院吗,咨询公立私立
你们是莆田系医院吗,咨询公立私立
听说你们是公立的,咨询公立私立
听说你们是私立医院,咨询公立私立
你们是公立的吗,咨询公立私立
你们是私立的吗,咨询公立私立
是不是属于公立的,咨询公立私立
什么性质医院,咨询公立私立
是公办或是私家医院,咨询公立私立
你们是私人医院么,咨询公立私立
咨询公立私立,咨询公立私立
你们是什么性质的医院,咨询公立私立
你们医院是三甲吗,咨询公立私立
你们医院是公立医院吗,咨询公立私立
你们医院是私立医院吗,咨询公立私立
你们是公立还是私立医院？,咨询公立私立
你们医院是哪一级别的医院,咨询公立私立
你们医院属于什么医院,咨询公立私立
你们医院是公立的还是私立的,咨询公立私立
你们是公立医院还是私立医院,咨询公立私立
你微信多少,咨询微信
你微信多少发给我,咨询微信
微信聊？,咨询微信
加微信吧,咨询微信
我可以加您微信吗？,咨询微信
能加微信吗,咨询微信
怎么加您微信,咨询微信
我加你微信聊吧。方便吗？,咨询微信
你微信我多少啊？,咨询微信
我的微信号,咨询微信
那个是我的微信号,咨询微信
微信号啊,咨询微信
微信吗,咨询微信
VX？,咨询微信
你把号码发给我，我加你微信吧，我想了解一下!,咨询微信
我加下你,咨询微信
好的,我这边加下您把,您看一下,咨询微信
给我你的吧,咨询微信
我这边加下您把,您看一下,咨询微信
好的,我这边加您微信,您看下,咨询微信
你们微信是多少 我添加一下吧,咨询微信
加V,咨询微信
我家您吧,咨询微信
加个微信可以吗,咨询微信
你加我吧！朋友圈看不到吧,咨询微信
微信也可以,咨询微信
一般是微信,咨询微信
是不是直接加这个微信就可以,咨询微信
给我个微信吧 我要授课老师的微信,咨询微信
现在不怎么方便，先加你微信,咨询微信
微信,咨询微信
有微信吗？,咨询微信
发你的微信,咨询微信
方便加微信吗我发图,咨询微信
给我个微信吧 我要主任或院长的微信,咨询微信
我在上班，现在不怎么方便，我加你微信,咨询微信
你们医院有微信号吗？,咨询微信
微信是多少,咨询微信
微信号给我个,咨询微信
给我个微信号,咨询微信
医院的微信号是多少,咨询微信
医院的微信号是啥,咨询微信
微信号是多少,咨询微信
微信号有吗,咨询微信
我要你们医院的微信号,咨询微信
有可以预约的微信号吗,咨询微信
有可以咨询的微信号吗,咨询微信
预约微信号是多少,咨询微信
微信号码是多少,咨询微信
wechat给我,咨询微信
微信吧,咨询微信
我可以加你一个好友吗,咨询微信
你有微信吗,咨询微信
我可以加你微信吗,咨询微信
有微信号没,咨询微信
给个微信,咨询微信
能加你微信吗？,咨询微信
weixin聊,咨询微信
挂个号,确定预约时间
明天有门诊医生没,确定预约时间
什么时候可以过来检查呢,确定预约时间
这个直接就诊还是要预约,确定预约时间
医生说不像等星期一去检查,确定预约时间
明天要带去检查,确定预约时间
我需要预约,确定预约时间
我儿子马上面临高三，我估计是压力,确定预约时间
孩子就快放假了，到时候去你们那里看看,确定预约时间
我想自己过来看一下,确定预约时间
帮我预约一下,确定预约时间
我下周有空会过去,确定预约时间
帮我预约明天下午,确定预约时间
帮我预约这个周末可以吗,确定预约时间
帮我预约下个月,确定预约时间
帮我预约周一,确定预约时间
预约周一,确定预约时间
预约周二中午可以吗,确定预约时间
预约周三上午可以吗,确定预约时间
帮我预约周四吧,确定预约时间
预约五号吧,确定预约时间
月中我才会有空，先帮我预约吧,确定预约时间
帮我预约下个月初,确定预约时间
这个月底我有时间，帮我预约一下吧,确定预约时间
周六我有时间，帮我预约周六吧,确定预约时间
帮我订明天下午,确定预约时间
我明天下午过来,确定预约时间
帮我约个时间吧,确定预约时间
明天过去,确定预约时间
我周末可以过去,确定预约时间
帮我预约下周,确定预约时间
帮我挂个号,确定预约时间
帮我约下午,确定预约时间
预约一个比较权威的医生给我打吧,确定预约时间
说预约专家给我做,确定预约时间
我再看看，现在没时间来？,确定预约时间
今天能预约不,确定预约时间
下午过去可以吗,确定预约时间
这几天都可以来吗,确定预约时间
这几天能来治疗不,确定预约时间
最近可以就诊吗？,确定预约时间
你们电话多少,咨询电话
给我一下你们的电话,咨询电话
医院电话？,咨询电话
留一个电话吧,咨询电话
您的电话多少,咨询电话
你好能帮我联系下于巧研究医生吗谢谢,咨询电话
学校电话,咨询电话
你的电话多少,咨询电话
能给我一个你们的电话吗,咨询电话
你们的联系方式,咨询电话
能加下你电话吗,咨询电话
给下学校电话,咨询电话
学校有电话吗,咨询电话
能给我个联系方式吗,咨询电话
联系方式,咨询电话
号码多少,咨询电话
医院电话,咨询电话
你手机号码多少？,咨询电话
电话号码多少,咨询电话
电话吧，QQ不常用,咨询电话
给个电话,咨询电话
电话联系吧 比较直接,咨询电话
给个联系方式,咨询电话
请问，方便留下 你们那边的联系方式吗,咨询电话
电话号码给我,咨询电话
可以留一个联系方式给我吗,咨询电话
这边可以电话联系我吗,咨询电话
我给你打吧，她快中考了怕她听见,咨询电话
在黄陂，你可以留个电话给我吗,咨询电话
请问现在能通话吗,咨询电话
我想取出鼻子假体怎么联系,咨询电话
你吧你的电话给我我的微信不在了,咨询电话
我之前是加的余丰的微信，手机出了问题电话号码和微信都没了，你哪儿有余丰的电话吗,咨询电话
你手机号码多少？我加你。,咨询电话
我是咱们医院的老顾客，感觉咱们医院挺有实力的，如果想跟咱们医院合作，怎么联系呢？,咨询电话
我是陌陌平台运营人员李中行，平台之前对于医美行业是封禁的现在，开放了，想跟您联系一下,咨询电话
我等下联系你,咨询电话
你有周主任电话吗,咨询电话
你的号多少,咨询电话
你们医院电话是多少,咨询电话
你们医院电话多少,咨询电话
医院的电话是,咨询电话
电话热线是,咨询电话
医院电话热线是多少,咨询电话
电话号码给我一个,咨询电话
咨询电话是多少,咨询电话
医院的咨询热线是啥,咨询电话
给我个电话号码,咨询电话
号码给我一个咯,咨询电话
你们单位电话是多少,咨询电话
电话号码是多少,咨询电话
号码是多少,咨询电话
qq行吗,咨询QQ
您QQ呢,咨询QQ
你QQ多少,咨询QQ
可以加下qq吗,咨询QQ
给个QQ,咨询QQ
qq可以吗？,咨询QQ
扣扣号发我一下,咨询QQ
你们医院有QQ号吗？,咨询QQ
医院的QQ号是多少,咨询QQ
医院的QQ号是啥,咨询QQ
我要你们医院的QQ号,咨询QQ
你们公司有QQ号吗？,咨询QQ
QQ号给我个,咨询QQ
给我个QQ号,咨询QQ
公司的QQ号是多少,咨询QQ
公司的QQ号是啥,咨询QQ
QQ号是多少,咨询QQ
QQ号有吗,咨询QQ
我要你们公司的QQ号,咨询QQ
有可以预约的QQ号吗,咨询QQ
有可以咨询的QQ号吗,咨询QQ
预约QQ号是多少,咨询QQ
我可以加你QQ号吗,咨询QQ
扣扣号给我,咨询QQ
qq号码是多少,咨询QQ
qQ是多少,咨询QQ
企鹅号给我,咨询QQ
自驾车，终点导什么地方,咨询路线
几路公交能到你们那,咨询路线
你们那地铁能到吗,咨询路线
到你们那的公交需要转车吗,咨询路线
去你们那的路线,咨询路线
你们附近有地铁站吗,咨询路线
你们附近有公交站吗,咨询路线
怎么去你们那里,咨询路线
坐地铁去你们那里怎么去,咨询路线
坐公交方便吗,咨询路线
开车要怎么去,咨询路线
去你们那要怎么走,咨询路线
做地铁去你们那儿方便吗？,咨询路线
我搭公交去方便吗,咨询路线
我开车过去要怎么走,咨询路线
我骑车过去走么走,咨询路线
地铁几号线比较近,咨询路线
公交应该做那一路比较近,咨询路线
怎么去,咨询路线
怎么去你们医院最近,咨询路线
做地铁到那一站下,咨询路线
坐公交到那一站,咨询路线
你发个路线我自己开车过去,咨询路线
路线怎么走,咨询路线
在哪个站下？,咨询路线
具体怎么做车,咨询路线
哪一站,咨询路线
那你们医院在哪里？需要做什么号的公交车,咨询路线
我住东西湖这边可以坐六号线,咨询路线
那你把线路告诉我，我找去你们那里看一下。,咨询路线
129到哪站下,咨询路线
能告诉我在哪附近吗,咨询路线
坐几路到,咨询路线
住在柳南区城站路这里，这样坐哪路车过去呢,咨询路线
在什么地方坐车方便吗,咨询路线
是直达吗,咨询路线
转几号线？,咨询路线
什么站,咨询路线
从SM到整容院坐几路车,咨询路线
请问坐,咨询路线
我海沧乐海百货过去坐几路,咨询路线
问你哪个出口出,咨询路线
你们有车接送吗,咨询路线
如在柳州站，你们那能不能来到站接患者吗？,咨询路线
你们医院在哪条路上？有哪些公交车能到？,咨询路线
医院咋走,咨询路线
医院怎么去,咨询路线
你们那边怎么走,咨询路线
可以坐地铁去吗,咨询路线
你们医院的路线怎么走,咨询路线
我要到哪里下车,咨询路线
我要在哪里坐车,咨询路线
怎么去你那,咨询路线
告诉我路线,咨询路线
坐铁路几号线,咨询路线
到你们医院坐几号地铁,咨询路线
想问一下怎么到你们那,咨询路线
是的，想问一下怎么到你们那,咨询路线
请问坐地铁怎么去,咨询路线
公交坐几路车？,咨询路线
怎么去你们医院最方便,咨询路线
你们医院怎么走,咨询路线
怎么去你们医院,咨询路线
你们医院咋走方便呢,咨询路线
公交车有直达医院吗,咨询路线
医院的附近有什么车站点吗,咨询路线
咋去你们医院,咨询路线
介绍下你们医院,咨询公司介绍
简单介绍下你们医院情况？,咨询公司介绍
医院简介？,咨询公司介绍
介绍下医院基本信息,咨询公司介绍
请问你们是哪个医院,咨询公司介绍
你们是几级医院,咨询公立私立
有你们医院的具体介绍吗,咨询公司介绍
医院有简介吗,咨询公司介绍
你们医院是做啥的,咨询公司介绍
有医院的介绍吗,咨询公司介绍
有医院简介吗,咨询公司介绍
医院的特色是啥,咨询公司介绍
我想问那家医院好点,咨询公司介绍
你们医院正规吗,咨询公立私立
你们几点上班,咨询上班时间
你们上班时间？,咨询上班时间
你们什么时候上班,咨询上班时间
法定节假日有上班吗,咨询上班时间
晚上有上班吗,咨询上班时间
医院几点上班,咨询上班时间
医院上班时间,咨询上班时间
几点到几点,咨询上班时间
请问一下皮肤科有人在上班吗,咨询上班时间
防疫期间今天门诊在上班没,咨询上班时间
你们医院上班吗,咨询上班时间
你们春节什么时候放假呀,咨询上班时间
我想问一下你们什么时候放假,咨询上班时间
初二上班吗,咨询上班时间
你们店什么时候开门呢？,咨询上班时间
你们什么时候上班呢,咨询上班时间
什么时候上班,咨询上班时间
今天医院上班没有,咨询上班时间
你们医院什么时候上班,咨询上班时间
你们上班了吗,咨询上班时间
今天上班吗,咨询上班时间
医生下班了吗？,咨询上班时间
你们医院几号开门？,咨询上班时间
今天上班吗？,咨询上班时间
今天医院休息吗？,咨询上班时间
你们这两天上班吗,咨询上班时间
你好亲，医院今天还上班吗,咨询上班时间
现在开着门吗,咨询上班时间
医院上班了吗？,咨询上班时间
开业了吗,咨询上班时间
你们开工了吗,咨询上班时间
你们医院目前开业了没有,咨询上班时间
欧菲现在有营业吗,咨询上班时间
昆明艺星开门吗今天,咨询上班时间
你好，我想问一下现在营业吗？,咨询上班时间
我想问一下你们在营业没有,咨询上班时间
请问最近有营业吗,咨询上班时间
现在你们开业吗,咨询上班时间
最近上班了么,咨询上班时间
啥时候开门营业,咨询上班时间
你们什么时候开始上班,咨询上班时间
疫情期间已经在上班了吗,咨询上班时间
你们医院开门了吗,咨询上班时间
医院开门了吗,咨询上班时间
上班了吗你们,咨询上班时间
我说你们上班了吗,咨询上班时间
请问医院什么时候能开门,咨询上班时间
请问医院哪天能营业呢,咨询上班时间
几号开始营业,咨询上班时间
我想问你几号开始营业？,咨询上班时间
上班吗,咨询上班时间
医院上班了吗,咨询上班时间
亲，在营业么？,咨询上班时间
你们在营业么？我下午过去看看,咨询上班时间
请问你们医院现在有没有上班？,咨询上班时间
你们今天开业吗,咨询上班时间
几号复工呢,咨询上班时间
你们医院最近上班没,咨询上班时间
最近上班没有,咨询上班时间
医院最近上班吗？,咨询上班时间
你们几号开门呢,咨询上班时间
什么时候医院开门,咨询上班时间
你们医院营业么,咨询上班时间
现在医院正常营业吗,咨询上班时间
你好你们几号上班,咨询上班时间
请问你们现在复工了吗,咨询上班时间
复工了么,咨询上班时间
你们啥时候上班,咨询上班时间
疫情期间你们也上班吗？,咨询上班时间
台州艺星现在开院了吗？,咨询上班时间
今天有开店吗,咨询上班时间
丽都上班了没？,咨询上班时间
现在医院开门没,咨询上班时间
现在你们还开门着吗,咨询上班时间
现在疫情期间你们还能弄？,咨询上班时间
你们目前在上班接待客户吗,咨询上班时间
上班了没请问,咨询上班时间
你好！我想问下利美康开始上班没？,咨询上班时间
现在店开了没有,咨询上班时间
你们好久上班,咨询上班时间
你们医院现在能去看吗,咨询上班时间
您好，现在能去医院吗,咨询上班时间
你们医院现在可以看吗,咨询上班时间
临床算了，没时间，要上班,咨询上班时间
你们上班时间,咨询上班时间
你们几点开始上班,咨询上班时间
你们周末上班吗,咨询上班时间
你们每天都有上班吗,咨询上班时间
你们早上几点开始上班,咨询上班时间
晚上几点下班,咨询上班时间
上班时间？,咨询上班时间
你们那里几点开门,咨询上班时间
你们几点关门,咨询上班时间
你们医院几点上班,咨询上班时间
几点下班,咨询上班时间
周末上班吗,咨询上班时间
你们有节假日吗,咨询上班时间
你们医院有比较厉害的专家吗？,咨询专家
你们医院厉害的主任有吗？,咨询专家
有专业的医生吗？,咨询专家
你们医资力量怎么样？,咨询专家
你们医院会有比较专业的主任吗？,咨询专家
没有专家确认,咨询专家
你是那位医师,咨询专家
有专业的医师吗,咨询专家
对了，我还想咨询一下你们医院哪个医生做的好,咨询专家
对了，我还想咨询一下双眼皮你们医院哪个医生做的好,咨询专家
你这边可以给我推荐一个好的医生么？对我的皮肤有针对性的治疗,咨询专家
接诊和手术医生不是同一个吗,咨询专家
我问下哪个医生,咨询专家
我想找他咨询～比较专业,咨询专家
你们的王牌医生是哪一个,咨询专家
主刀医生都有谁？,咨询专家
求你看在我已经交定金的份上告诉我谁做的最好我保密,咨询专家
医生很重要,咨询专家
专门看脸那一块的那个女医生,咨询专家
我想问你们医师那个做的最好,咨询专家
面诊的医生可以选吗还是,咨询专家
请问你们咨询能不能安排女医生女护士的阿啊？做整形美容,咨询专家
就是你们张部长负责我的美容项目的,咨询专家
觉得吴博士做的挺好的,咨询专家
你刚介绍的孟娟医生是周几上班呢,咨询专家
你家哪位医生注射好,咨询专家
现在约的医生是以后要帮忙手术的医生吗,咨询专家
我有一个朋友的鼻子在你们那做的，简直太丑了，还有好点的医生吗,咨询专家
我想请黄方老师做，可以吗,咨询专家
激光科，张弘医生,咨询专家
这个电话打不通,咨询电话
路线还清楚吗？,咨询路线
我只有短号,咨询电话
罗红霉素胶囊,咨询药物
有耳痒 听力下降 耳鸣 耳痛的症状,描述症状
但是以前我都在老家那边看的,描述就诊史
你看如何,无
鼻子流黄水怎么回事还有头疼。头晕。,咨询病因
一透气就像被一颗炮弹给炸了似的,描述症状
嗯，男。费用多少？,咨询检查费用
几甲？,咨询公司介绍
转诊便宜点吧？,咨询检查费用
行，那本周六上午我过来吧，大概10-12点,确定预约时间
你们的检查正规吗？和市区内大医院的检查程序和设备是一样的吗？,咨询公司介绍
可为什么大医院的人多呢？,无
鼻窦炎,咨询项目介绍
就是想问问你喉咙咸咸的怎么回事,咨询病因
现在吃啊莫西林胶囊可以吗,咨询药物
您好，请问我能问你个问题么？,无
鼻炎和鼻窦炎有什么区别？,咨询项目介绍
鼻炎会不会引起鼻癌,咨询危害
请问鼻夹肥大必须手术？吗,咨询动刀
但有的医生说鼻中隔偏曲不严重，矫正意义不大,描述就诊史
以上您所说的几种方法有没有副作用？平时需要注意什么吗？,咨询危害
一般费用大概多少，微创治疗需要多少天,咨询费用
你好，这个预约号WNE2964656 能看出来是排在多少号吗，是上午的号还是下午的号呢,无
我想问一下，一般去你们医院费用大概多少钱，过年期间什么时候是营业的,咨询上班时间
听医生说不能洗太热的澡？是吗？还有饮食方面有哪些禁忌？,咨询食疗
中华门？,咨询地址
治不好，放弃了,无
鼻窦炎会复发的能不能治根呀,咨询疗效
我老婆鼻炎七八年了，会不会治疗晚了,咨询危害
你们是什么医院？,咨询公司介绍
耳膜穿孔费用多少,咨询价格
刚才的内容又不见了怎么回事,无
你们医院是不是在大明路那边,咨询地址
手术有风险吗,咨询动刀
哦，明白了啦，是不是气候干燥有关？,无
蝶窦及左侧筛窦炎是什么？,咨询项目介绍
你们那里星期六星期天都不休息吗？,咨询上班时间
从没有看过，因为你们是专业医院，特首先咨询一下你。,无
用青霉素要几天会好,咨询疗效
不知道那里医院看比较好？,咨询公司介绍
检查单没了,无
我是学唱歌的 会不会对这个有点影响？,咨询危害
我当时去检查的时候医生说住一天就可以了啊,咨询住院
神经性耳鸣属于耳鼻喉科吗,咨询项目介绍
那有什么药吗,咨询药物
请问现在还有值班医生？,咨询上班时间
过敏性鼻炎变慢性鼻炎，鼻中隔偏曲，整夜打鼾呼吸暂停，怎样减轻痛苦?谢谢！,咨询治疗方式
手术是要切除什么吗？有风险吗？,咨询动刀
有微创修补吗,咨询项目介绍
你好，请问江宁区的医保卡能用吗,无
可以导航啊〖笑〗,咨询路线
不过路上可能有点远吧，我家在南京市中医院原址附近,咨询路线
我在坐地铁3号线，怎么乘车去你们医院,咨询路线
找哪位比较好,咨询专家
持续了快三年了 感觉很苦恼 中药刚开始喝有减轻的趋势 后来效果不明显了,描述症状
检查费需要多少钱,咨询检查费用
为什么正常的时候说话都费劲呢,咨询病因
微创手术可以即开即走嘛,咨询动刀
你还是告我加你的方式吧，,咨询微信
能根治吗？,咨询疗效
什么优惠,咨询价格
好的，那是挂哪个专家号吗？有针对性哪位专家吗？,咨询专家
有什么办法防治吗？,咨询治疗方式
感觉都是恶性的，还会病变,咨询危害
现在半边脸没知觉,描述症状
请问您在哪,咨询地址
大概多久能恢复正常,咨询疗效
请问我经常闻不到味道,咨询病因
像个气球吹气,描述症状
小孩耳朵里塞了个假花的花瓣,描述症状
您分析怎么办？,咨询治疗方式
下午王齐峰在吗,咨询专家
去你们那治疗可以报销吗,咨询检查费用
你们这个是专科医院吧？,咨询公司介绍
你的是多少，我加你,咨询微信
医保看到一仟可以打折你们医院打折吗,咨询价格
耳鸣如蝉己数十年,描述症状
徐其昌主任今天在吗,咨询专家
到中华门地铁站吗,咨询路线
什么签售？,无
我去你处，从君望墅如何走,咨询路线
你那热线能打吗,咨询电话
我开车来吧,咨询路线
在哪,咨询地址
是民营医院吗？,咨询公立私立
一般这个不会误症吧,咨询危害
几级几等,咨询公司介绍
有沒有機會好？,咨询疗效
什么处方伐,咨询药物
uppp手術，成功率醫生說只有50%,咨询动刀
了解下差價,咨询价格
挂什么科呢,咨询检查方式
南京哪里,咨询地址
周永康  18   17551038290   预计四点二十左右到达   耳科专家,确定预约时间
怎么调理,咨询食疗
工作是机械加工，公司里空气质量差，而且经常需要加班,无
之前在医院也洗过一次，后来拿一点药洗了，之后还是痒,描述就诊史
这是怎么回事呢？,咨询病因
鼻炎怎么缓解,咨询疗程
我只是还有一个问题,无